FIELD1,ds,yhat_lower,yhat_upper,yhat
384,1990-10-18,-2954.686338083157,5787.924136255394,1487.2360245789368
385,1990-10-22,-2553.0720354738787,5493.269829711653,1489.161661733748
386,1990-10-25,-2684.0488092304454,5715.8317727592585,1519.0139537852206
387,1990-10-26,-2671.3923528580203,5476.430424991736,1482.6511462000035
388,1990-10-31,-2667.0405615820023,5799.707358222918,1504.7719883903244
389,1990-11-01,-2521.5637522477796,5682.589823546682,1527.3790255152737
390,1990-11-05,-2673.666130650702,5711.300454692206,1503.308873063102
391,1990-11-07,-2918.06390876389,5849.843989243909,1493.9987383588632
392,1990-11-08,-3056.882142081407,5771.8736290130955,1514.7922706524644
393,1990-11-09,-3105.499903104798,5415.072897063705,1473.2901004971075
394,1990-11-12,-2688.8241745960368,6056.385598441931,1488.6718857725766
395,1990-11-14,-2730.220774525743,5188.57199134561,1481.2901728952233
396,1990-11-16,-2662.002738773513,5747.337203887714,1464.0266605563077
